@RELATION all_data_pacman
	@ATTRIBUTE pacmanPosX NUMERIC
	@ATTRIBUTE pacmanPosY NUMERIC
	@ATTRIBUTE Ghost_1_PosX NUMERIC
	@ATTRIBUTE Ghost_1_PosY NUMERIC
	@ATTRIBUTE Ghost_2_PosX NUMERIC
	@ATTRIBUTE Ghost_2_PosY NUMERIC
	@ATTRIBUTE Ghost_3_PosX NUMERIC
	@ATTRIBUTE Ghost_3_PosY NUMERIC
	@ATTRIBUTE Ghost_4_PosX NUMERIC
	@ATTRIBUTE Ghost_4_PosY NUMERIC
	@ATTRIBUTE legalNorth NUMERIC
	@ATTRIBUTE legalSouth NUMERIC
	@ATTRIBUTE legalWest NUMERIC
	@ATTRIBUTE legalEast NUMERIC
	@ATTRIBUTE ghost_1_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_2_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_3_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_4_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_1_Distance NUMERIC
	@ATTRIBUTE ghost_2_Distance NUMERIC
	@ATTRIBUTE ghost_3_Distance NUMERIC
	@ATTRIBUTE ghost_4_Distance NUMERIC
	@ATTRIBUTE livingGhost_1 {True, False}
	@ATTRIBUTE livingGhost_2 {True, False}
	@ATTRIBUTE livingGhost_3 {True, False}
	@ATTRIBUTE livingGhost_4 {True, False}
	@ATTRIBUTE currentMove {Stop, North, South, West, East}

@data
8, 9, 7, 4, 3, 1, 9, 9, 14, 6, 0, 1, 1, 1, North, Stop, West, North, 6, 1000, 1, 8, True, False, True, True, East
9, 9, 7, 3, 3, 1, 5, 1, 14, 7, 0, 1, 1, 1, South, Stop, Stop, North, 8, 1000, 1000, 7, True, False, False, True, East
9, 8, 7, 3, 3, 1, 5, 1, 14, 7, 1, 1, 1, 1, South, Stop, Stop, West, 7, 1000, 1000, 5, True, False, False, True, South
9, 7, 6, 3, 3, 1, 5, 1, 13, 7, 1, 1, 1, 1, West, Stop, Stop, West, 7, 1000, 1000, 3, True, False, False, True, South
9, 6, 7, 3, 3, 1, 5, 1, 12, 7, 1, 1, 1, 1, East, Stop, Stop, East, 5, 1000, 1000, 5, True, False, False, True, South
9, 5, 6, 3, 3, 1, 5, 1, 13, 7, 1, 1, 1, 1, West, Stop, Stop, East, 5, 1000, 1000, 7, True, False, False, True, South
9, 4, 6, 3, 3, 1, 5, 1, 14, 7, 1, 1, 1, 1, West, Stop, Stop, East, 4, 1000, 1000, 8, True, False, False, True, South
8, 4, 5, 3, 3, 1, 5, 1, 14, 7, 1, 1, 1, 1, West, Stop, Stop, East, 4, 1000, 1000, 9, True, False, False, True, West
7, 4, 5, 3, 3, 1, 5, 1, 14, 7, 1, 1, 1, 1, West, Stop, Stop, South, 3, 1000, 1000, 9, True, False, False, True, West
6, 4, 5, 4, 3, 1, 5, 1, 14, 6, 1, 1, 1, 1, North, Stop, Stop, North, 1, 1000, 1000, 11, True, False, False, True, West
5, 4, 1, 1, 3, 1, 5, 1, 14, 7, 1, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 12, False, False, False, True, West
5, 3, 1, 1, 3, 1, 5, 1, 14, 7, 1, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 14, False, False, False, True, South
6, 3, 1, 1, 3, 1, 5, 1, 15, 7, 1, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 13, False, False, False, True, East
7, 3, 1, 1, 3, 1, 5, 1, 15, 7, 1, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 13, False, False, False, True, East
8, 3, 1, 1, 3, 1, 5, 1, 16, 7, 1, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 13, False, False, False, True, East
9, 3, 1, 1, 3, 1, 5, 1, 17, 7, 1, 0, 1, 1, Stop, Stop, Stop, West, 1000, 1000, 1000, 11, False, False, False, True, East
10, 3, 1, 1, 3, 1, 5, 1, 16, 7, 1, 0, 1, 1, Stop, Stop, Stop, West, 1000, 1000, 1000, 9, False, False, False, True, East
11, 3, 1, 1, 3, 1, 5, 1, 15, 7, 1, 0, 1, 0, Stop, Stop, Stop, North, 1000, 1000, 1000, 9, False, False, False, True, East
11, 4, 1, 1, 3, 1, 5, 1, 15, 8, 1, 1, 1, 0, Stop, Stop, Stop, North, 1000, 1000, 1000, 8, False, False, False, True, North
11, 5, 1, 1, 3, 1, 5, 1, 15, 8, 0, 1, 1, 1, Stop, Stop, Stop, West, 1000, 1000, 1000, 6, False, False, False, True, North
12, 5, 1, 1, 3, 1, 5, 1, 14, 8, 0, 0, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 6, False, False, False, True, East
13, 5, 1, 1, 3, 1, 5, 1, 15, 8, 0, 1, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 6, False, False, False, True, East
14, 5, 1, 1, 3, 1, 5, 1, 16, 8, 1, 1, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 6, False, False, False, True, East
14, 6, 1, 1, 3, 1, 5, 1, 17, 8, 1, 1, 0, 0, Stop, Stop, Stop, North, 1000, 1000, 1000, 6, False, False, False, True, North
14, 7, 1, 1, 3, 1, 5, 1, 17, 9, 1, 1, 1, 1, Stop, Stop, Stop, South, 1000, 1000, 1000, 4, False, False, False, True, North
14, 8, 1, 1, 3, 1, 5, 1, 17, 8, 1, 1, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 4, False, False, False, True, North
15, 8, 1, 1, 3, 1, 5, 1, 18, 8, 1, 1, 1, 1, Stop, Stop, Stop, East, 1000, 1000, 1000, 3, False, False, False, True, East
16, 8, 1, 1, 3, 1, 5, 1, 18, 8, 1, 1, 1, 1, Stop, Stop, Stop, North, 1000, 1000, 1000, 3, False, False, False, True, East
